   135     -1  19358 3.844825E-05 3.844825E-05 1.147286E-05 4.188359E-16 0.000000E+00
   136     -1  19350 1.161752E-04 1.161752E-04 5.511386E-06 2.577452E-16 0.000000E+00
   137  19328      0 3.182000E-06 3.182000E-06 5.189685E-05 1.192071E-15 0.000000E+00
   138  19318      0 1.285905E-04 1.285905E-04 7.115168E-06 1.610907E-16 0.000000E+00
   139  19308      0 3.182000E-06 3.182000E-06 2.737260E-05 1.192071E-15 0.000000E+00
   140  19307      0 3.182000E-06 3.182000E-06 2.898940E-05 2.899633E-16 0.000000E+00
   141  19272      0 1.158969E-04 1.158969E-04 1.622508E-05 1.610907E-16 0.000000E+00
   142     -1  19195 4.148820E-05 4.148820E-05 1.458176E-05 6.765810E-16 0.000000E+00
   143  19182      0 3.884126E-05 3.884126E-05 7.115168E-06 1.288726E-16 0.000000E+00
   144  19142      0 2.898940E-05 2.898940E-05 6.364000E-06 2.899633E-16 0.000000E+00
   145  19085      0 5.011019E-05 5.011019E-05 9.000055E-06 4.188359E-16 0.000000E+00
   146     -1  19073 3.751523E-05 3.751523E-05 6.364000E-06 2.899633E-16 0.000000E+00
   147  19066      0 3.382512E-05 3.382512E-05 6.364000E-06 3.221814E-17 0.000000E+00
   148     -1  19061 1.620826E-04 1.620826E-04 6.364000E-06 2.899633E-16 0.000000E+00
   149     -1  19054 4.037505E-05 4.037505E-05 1.311972E-05 1.610907E-16 0.000000E+00
   150  19036      0 3.245016E-05 3.245016E-05 6.364000E-06 2.899633E-16 0.000000E+00
   151  19035      0 3.628038E-05 3.628038E-05 5.511386E-06 2.577452E-16 0.000000E+00
   152     -1  19033 3.182000E-06 3.182000E-06 2.643168E-05 6.765810E-16 0.000000E+00
   153     -1  19032 3.182000E-06 3.182000E-06 2.643168E-05 6.765810E-16 0.000000E+00
   154  18989      0 1.027916E-04 1.027916E-04 9.546000E-06 3.221814E-17 0.000000E+00
   155     -1  18951 5.313626E-05 5.313626E-05 6.364000E-06 2.899633E-16 0.000000E+00
   156     -1  18950 3.182000E-06 3.182000E-06 4.773000E-05 3.125160E-15 0.000000E+00
   157     -1  18922 4.432013E-05 4.432013E-05 1.827920E-05 8.054536E-16 0.000000E+00
   158  18915      0 3.182000E-06 3.182000E-06 2.604579E-05 2.899633E-16 0.000000E+00
   159     -1  18899 3.182000E-06 3.182000E-06 3.500200E-05 3.221814E-17 0.000000E+00
   160     -1  18897 4.825742E-05 4.825742E-05 2.227400E-05 1.449817E-15 0.000000E+00
   161     -1  18847 7.776607E-05 7.776607E-05 6.364000E-06 2.899633E-16 0.000000E+00
   162     -1  18845 3.529009E-05 3.529009E-05 4.500028E-06 9.665443E-17 0.000000E+00
