 29084  3.360000E-03  3.360000E-03  3.360000E-03
    78 6.720000E-05 2.965200E-03 3.203200E-03   1	27562	    0	    0	 4291
    79 5.768000E-04 3.043600E-03 8.400000E-06   3	15558	27533	 8867	    0	    0	 1991	 4335	 3516
    80 4.900000E-04 3.231200E-03 3.343200E-03   1	14672	    0	    0	 4410
    81 2.060800E-03 4.228000E-04 2.534000E-03   1	22826	    0	    0	 4441
    82 4.256000E-04 3.351600E-03 3.010000E-03   1	 9283	    0	    0	 4529
    83 2.713200E-03 3.304000E-04 1.881600E-03   1	23398	    0	    0	 4556
    84 8.260000E-04 5.880000E-04 1.310400E-03   3	 4751	20209	 2496	    0	    0	 4007	 4558	 2375
    85 3.214400E-03 1.330000E-03 9.240000E-05   3	27967	21277	21020	    0	    0	 2646	 4621	 4620
    86 3.119200E-03 2.954000E-03 2.063600E-03   2	27615	20893	    0	    0	 4659	 3727
    87 2.732800E-03 9.436000E-04 1.915200E-03   1	22575	    0	    0	 4790
    88 3.340400E-03 2.184000E-04 1.853600E-03   1	20621	    0	    0	 4841
    89 1.383200E-03 3.346000E-03 2.338000E-03   1	 3988	    0	    0	 4861
    90 2.464000E-04 2.472400E-03 3.015600E-03   1	26259	    0	    0	 4867
    91 6.860000E-04 9.660000E-04 1.470000E-03   2	23484	13203	    0	    0	 4924	 3493
    92 8.680000E-05 1.906800E-03 1.523200E-03   2	 1070	13772	    0	    0	 4930	 2914
    93 1.761200E-03 8.400000E-04 1.621200E-03   1	 1933	    0	    0	 4941
    94 2.010400E-03 1.850800E-03 3.340400E-03   1	  479	    0	    0	 4954
    95 2.889600E-03 3.332000E-04 2.128000E-04   1	20917	    0	    0	 4985
    96 1.531600E-03 2.416400E-03 3.234000E-03   1	 5979	    0	    0	 4991
    97 2.822400E-03 1.968400E-03 1.120000E-05   1	 1921	    0	    0	 4995
    98 2.251200E-03 3.351600E-03 5.600000E-06   1	17580	    0	    0	 5008
    99 1.517600E-03 8.736000E-04 2.444400E-03   1	 7160	    0	    0	 5009
   100 4.088000E-04 2.335200E-03 2.494800E-03   1	20272	    0	    0	 5016
   101 3.351600E-03 9.408000E-04 5.600000E-06   2	 8586	    0	    0	    1	 5019	 1473
   102 2.072000E-04 2.522800E-03 5.600000E-06   1	 3855	    0	    0	 5021
   103 8.400000E-06 1.523200E-03 2.615200E-03   3	  104	   -1	 6572	    1	    0	 5026	 1472	 1611
   104 1.120000E-05 1.464400E-03 2.604000E-03   3	  103	   -1	12159	    1	    0	 5026	 1471	 4994
   105 2.576000E-04 2.486400E-03 5.600000E-06   2	26858	 3855	    0	    0	 5028	 5006
   106 1.400000E-04 2.920400E-03 1.484000E-04   1	19891	    0	    0	 5048
   107 2.648800E-03 1.965600E-03 1.428000E-04   1	27686	    0	    0	 5056
   108 5.600000E-06 3.360000E-05 1.912400E-03   2	   -1	13705	    1	    0	 1470	 5223
   109 5.572000E-04 2.940000E-03 2.200800E-03   2	28293	 3836	    0	    0	 2318	 5308
   110 7.924000E-04 5.684000E-04 8.736000E-04   1	10347	    0	    0	 5309
   111 1.881600E-03 3.864000E-04 2.094400E-03   1	27909	    0	    0	 5341
   112 2.091600E-03 3.164000E-03 5.600000E-06   1	 6069	    0	    0	 5347
   113 5.600000E-06 2.480800E-03 1.036000E-04   2	   -1	23125	    1	    0	 1469	 5360
   114 2.948400E-03 5.600000E-06 1.111600E-03   1	 8443	    0	    0	 5424
   115 1.363600E-03 3.976000E-04 9.800000E-04   2	 7435	 8814	    0	    0	 5425	 4910
   116 2.553600E-03 4.760000E-04 1.722000E-03   1	25893	    0	    0	 5455
   117 2.388400E-03 1.848000E-04 2.576000E-03   2	22336	20364	    0	    0	 5472	 1649
   118 2.973600E-03 1.117200E-03 7.000000E-05   2	10297	26770	    0	    0	 5518	 4339
   119 2.545200E-03 1.050000E-03 3.060400E-03   2	16047	18142	    0	    0	 5555	 5356
   120 1.316000E-04 8.400000E-06 2.041200E-03   1	 8347	    0	    0	 5659
   121 1.422400E-03 2.713200E-03 4.480000E-04   1	  192	    0	    0	 5668
   122 1.316000E-03 2.578800E-03 2.620800E-03   3	23241	 2508	25014	    0	    0	 1731	 2166	 5705
   123 3.169600E-03 1.288000E-04 1.008000E-03   1	23256	    0	    0	 5767
   124 6.636000E-04 2.394000E-03 2.091600E-03   2	 8477	13861	    0	    0	 5796	 2010
   125 9.576000E-04 1.358000E-03 5.208000E-04   3	23237	11195	12646	    0	    0	 4379	 3518	 5876
   126 3.724000E-04 6.972000E-04 5.656000E-04   1	26312	    0	    0	 5891
   127 7.812000E-04 1.400000E-05 1.962800E-03   1	16570	    0	    0	 5904
   128 3.071600E-03 3.284400E-03 8.428000E-04   4	 5622	14709	22608	 6885	    0	    0	 2230	 3042	 5914	 5514
   129 6.972000E-04 2.041200E-03 2.380000E-03   2	14067	14606	    0	    0	 5987	 5454
   130 1.811600E-03 2.962400E-03 8.680000E-04   2	25909	25598	    0	    0	 6023	 3781
   131 1.346800E-03 3.085600E-03 3.780000E-04   3	25834	16838	17104	    0	    0	 2921	 4625	 6035
   132 2.836400E-03 2.315600E-03 1.932000E-04   2	 1198	18944	    0	    0	 6049	 5054
   133 1.988000E-03 3.161200E-03 5.600000E-06   1	11922	    0	    0	 6062
   134 1.629600E-03 9.352000E-04 1.839600E-03   1	10293	    0	    0	 6066
   135 1.142400E-03 3.556000E-04 1.341200E-03   1	  136	    0	    0	 6096
   136 1.159200E-03 3.080000E-04 1.307600E-03   1	  135	    0	    0	 6096
