  3878  1.280000E-03  1.280000E-03  1.280000E-03
    65 2.240000E-04 3.200000E-04 3.232000E-04   1	 3273	    0	    0	  769
    66 2.688000E-04 3.200000E-04 8.352000E-04   2	 2646	 2366	    0	    0	  771	  770
    67 3.392000E-04 6.528000E-04 1.664000E-04   1	 2956	    0	    0	  775
    68 2.112000E-04 8.608000E-04 2.976000E-04   3	  951	  125	  950	    0	    0	  776	  640	  515
    69 4.224000E-04 7.232000E-04 3.840000E-05   1	 1967	    0	    0	  781
    70 1.273600E-03 7.424000E-04 6.688000E-04   2	    0	 3375	    0	    1	  351	  782
    71 1.273600E-03 5.248000E-04 1.376000E-04   2	    0	 1022	    0	    1	  350	  783
    72 7.328000E-04 6.400000E-06 1.008000E-03   1	 1147	    0	    0	  786
    73 1.116800E-03 1.107200E-03 3.712000E-04   2	  820	 1670	    0	    0	  792	  795
    74 8.736000E-04 6.048000E-04 2.400000E-04   2	 3105	 1778	    0	    0	  554	  797
    75 5.504000E-04 1.024000E-03 4.800000E-05   1	 1329	    0	    0	  806
    76 4.704000E-04 9.600000E-06 9.600000E-06   3	 2584	 2663	 2669	    0	    0	  810	  394	  711
    77 4.352000E-04 1.075200E-03 1.270400E-03   1	 3124	    0	    0	  822
    78 9.920000E-05 2.560000E-05 7.360000E-04   1	 2042	    0	    0	  824
    79 2.848000E-04 1.196800E-03 3.840000E-04   1	 3024	    0	    0	  825
    80 4.320000E-04 1.251200E-03 2.784000E-04   2	 2607	 1863	    0	    0	  828	  556
    81 8.448000E-04 1.011200E-03 4.768000E-04   1	  114	    0	    0	  829
    82 1.264000E-03 3.072000E-04 2.304000E-04   2	    0	  932	    0	    1	  349	  836
    83 8.224000E-04 6.304000E-04 1.123200E-03   2	 3013	 3550	    0	    0	  821	  840
    84 7.520000E-04 1.078400E-03 1.984000E-04   1	 3195	    0	    0	  841
    85 4.160000E-05 4.672000E-04 9.600000E-04   2	 3109	 2907	    0	    0	  403	  843
    86 2.016000E-04 1.161600E-03 1.536000E-04   1	 3506	    0	    0	  848
    87 6.624000E-04 7.040000E-05 5.824000E-04   2	 1776	 1030	    0	    0	  758	  850
    88 1.632000E-04 1.600000E-04 5.408000E-04   1	   89	    0	    0	  853
    89 1.440000E-04 1.888000E-04 5.504000E-04   1	   88	    0	    0	  853
    90 1.225600E-03 1.216000E-03 3.200000E-06   1	 2555	    0	    0	  857
    91 1.027200E-03 2.336000E-04 7.392000E-04   1	 2227	    0	    0	  859
    92 2.624000E-04 6.976000E-04 1.260800E-03   2	 2263	 3276	    0	    0	  860	  677
    93 1.238400E-03 3.648000E-04 1.104000E-03   1	  976	    0	    0	  861
    94 4.256000E-04 1.177600E-03 6.752000E-04   1	 2144	    0	    0	  864
